,State,Job,Companies,Location,Summary,Salary,Links,Post_Date
375, Maharashtra,Faculties - School of Computing & Data Science,abc consultants,"Pune, Maharashtra",We are inviting applications from highly research-active candidates for the positions of full-time Professor in Computer Science.,No Salary,/rc/clk?jk=6a96da7a40d0213d&fccid=0915096247b03532&vjs=3,08-19-2022
376, Telangana+2 locations,Data Scientist,CIEL HR,"Hyderabad, Telangana+2 locations","3+ years in a data processing & machine learning role with demonstrable experience with Cognitive computing, data integration, data mining, natural language…",No Salary,/rc/clk?jk=a677666260895f1f&fccid=97c7ac19bcd5f536&vjs=3,08-17-2022
377, Telangana+2 locations,Data Scientist,CIEL HR,"Hyderabad, Telangana+2 locations","3+ years in a data processing & machine learning role with demonstrable experience with Cognitive computing, data integration, data mining, natural language…",No Salary,/rc/clk?jk=a677666260895f1f&fccid=97c7ac19bcd5f536&vjs=3,08-17-2022
378, Haryana,Analytics & Insight Analyst,AirBnB,"Gurugram, Haryana",Collaborates with data engineering and data science to investigate such data issues. Ensures data quality and data integrity to manage CX data assets to be…,No Salary,/rc/clk?jk=aafb643219f47aef&fccid=95a08f6a451ba57f&vjs=3,08-20-2022
379, Karnataka,Engineering Specialist- Machine Learning,ZS,"Bengaluru, Karnataka","Being part of Scaled AI practice allows you to collaborate with data scientists to create state-of-the-art AI models, create and use cutting-edge ML platforms,…",No Salary,/rc/clk?jk=c5de955e2f4a2b71&fccid=f349f6e84d53b739&vjs=3,08-18-2022
380, Karnataka,Data Scientist III,SIXT,"Bengaluru, Karnataka",You will assist other engineers in designing the right data models. You have experience working with large amounts of real data with SQL or NoSQL.,No Salary,/rc/clk?jk=909754e34e20ede4&fccid=1a70832a7b190a0a&vjs=3,08-18-2022
381, Karnataka,Sr. Data Scientist – Medical analytics,Triangle Global,"Remote in Bengaluru, Karnataka",Strong R/Python programming skills and work experience in Unix/Linux environment Good computational and data visualization capability/experience to aid results…,No Salary,/rc/clk?jk=4051f679aa1ec48b&fccid=37ceb2c0c7b795cb&vjs=3,08-19-2022
382, Karnataka,CCB- D&A- Strategy & Control- Quant Analytics- Associate,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka","Validates accuracy of data and assists with report preparation. The team encompasses a variety of Data & Analytics disciplines, from data governance and data…",No Salary,/rc/clk?jk=34cea658ac7c4ccd&fccid=aaf3b433897ea465&vjs=3,08-16-2022
383, Karnataka,CCB- D&A- Strategy & Control- Quant Analytics- Associate,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka","Validates accuracy of data and assists with report preparation. The team encompasses a variety of Data & Analytics disciplines, from data governance and data…",No Salary,/rc/clk?jk=34cea658ac7c4ccd&fccid=aaf3b433897ea465&vjs=3,08-16-2022
384, Karnataka,"Business Intelligence Engineer, ATE",ASSPL - Karnataka,"Bengaluru, Karnataka","Experience working with data visualization tools and creating data visualization concepts, such as Tableau or equivalent. (e.g. Python, C++, Java, etc.).",No Salary,/rc/clk?jk=ffad2cf55396c13f&fccid=fe2d21eef233e94a&vjs=3,08-19-2022
385, Maharashtra,"Senior Manager Data Science, Business Analytics & Insights,...",Pfizer,"Mumbai, Maharashtra",Experience in management of secondary data with application of real-world data. Interface with Omnichannel-operations on execution and data science bespoke…,No Salary,/rc/clk?jk=b278b89ecc79d027&fccid=7ff126af0cd3d93b&vjs=3,08-18-2022
386, Karnataka,QR Credit SMM - Data Science VP Lead,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka","Monitoring data quality and removing corrupt data; You have a solid understanding of data sources, data organisation and storage;",No Salary,/rc/clk?jk=3456bfc3063a5340&fccid=aaf3b433897ea465&vjs=3,08-19-2022
387,India,Data Science & Analytics Consultant – Specialization in SAS,Softcrylic,India,"Our clients range from the travel and leisure industry to publishing, retail and banking. Extensive experience with the use of SAS/Base, SAS/SQL, SAS/MACROS,…",No Salary,/rc/clk?jk=32046b5b7c543122&fccid=35f5922f111a3637&vjs=3,08-19-2022
388, Maharashtra,Machine Learning Engineer - NA,Quantiphi,"Mumbai, Maharashtra",Critical eye for the quality of data and strong desire to get it right. Knowledge of statistical modelling and popular machine learning models.,No Salary,/rc/clk?jk=c6e609325ccb29b6&fccid=1ae4b0fd2737468f&vjs=3,08-18-2022
389, Maharashtra,Machine Learning Engineer - NA,Quantiphi,"Mumbai, Maharashtra",Critical eye for the quality of data and strong desire to get it right. Knowledge of statistical modelling and popular machine learning models.,No Salary,/rc/clk?jk=c6e609325ccb29b6&fccid=1ae4b0fd2737468f&vjs=3,08-18-2022
390, Maharashtra,Lead Data Scientist,Bajaj FinServ,"Pune, Maharashtra",Collaborate with fellow data scientists and Engineers to implement effective and specific methodologies. PRINCIPAL ACCOUNTABILITIES (Accountabilities associated…,No Salary,/rc/clk?jk=cbc5d7dc24d0a271&fccid=c8ba5f454dd5d9a9&vjs=3,08-19-2022
391, Karnataka,Analytics Experts,OakNorth Bank,"Bengaluru, Karnataka",This helps us analyze large financial/market/high-frequency data sets and provide business performance conclusions for companies across multiple sectors e.g.…,No Salary,/rc/clk?jk=94384180cb183e4b&fccid=282892cf21817454&vjs=3,08-20-2022
392, Maharashtra,"Manager, Data Science",MSD,"Pune, Maharashtra","You will be working with a scrum team comprising of data scientists, business analysts, subject matter experts, data engineers, and business partners to deliver…",No Salary,/rc/clk?jk=ce278b0b3665832c&fccid=3c0bf511b4a29309&vjs=3,08-19-2022
393, Tamil Nadu,PMS Data Scientist Sr. Expert,Philips,"Hybrid remote in Chennai, Tamil Nadu","Drive the collection of new data and the refinement of existing data sources. Implements solutions to problems using data analysis, data mining, optimization…",No Salary,/rc/clk?jk=22af91d09a8d3c76&fccid=e4af9ca5b6d3a604&vjs=3,08-17-2022
394, Maharashtra,Associate Lead Data Scientist,Bajaj FinServ,"Pune, Maharashtra",Collaborate with fellow data scientists and Engineers to implement effective and specific methodologies. PRINCIPAL ACCOUNTABILITIES (Accountabilities associated…,No Salary,/rc/clk?jk=c4d9461abb865e44&fccid=c8ba5f454dd5d9a9&vjs=3,08-19-2022
395, Maharashtra,Associate Lead Data Scientist,Bajaj FinServ,"Pune, Maharashtra",Collaborate with fellow data scientists and Engineers to implement effective and specific methodologies. PRINCIPAL ACCOUNTABILITIES (Accountabilities associated…,No Salary,/rc/clk?jk=c4d9461abb865e44&fccid=c8ba5f454dd5d9a9&vjs=3,08-19-2022
396, Karnataka,Senior Principal Machine Learning Engineer,Palo Alto Networks,"Bengaluru, Karnataka","9+ years industry / academia experience in software development, minimum 5 years as a machine learning engineer or a data scientist.",No Salary,/rc/clk?jk=091ec87293070666&fccid=0562f887e2bed9ea&vjs=3,08-20-2022
397, Maharashtra,CCB- D&A-Quant Analytics Senior Associate - Customer Experie...,"JPMorgan Chase Bank, N.A.","Mumbai, Maharashtra",Should be able to work directly with data owners/custodians and contribute in building analytics data hub. You will also leverage enterprise data to develop the…,No Salary,/rc/clk?jk=b88063cfce91b7af&fccid=aaf3b433897ea465&vjs=3,08-17-2022
398, Karnataka,Data Platform Engineer - AI/ML - Assistant Manager,State Street,"Bengaluru, Karnataka","Our platform products power analytics, reporting, machine learning, AI and data applications across the bank. The application developer / software engineer will…",No Salary,/rc/clk?jk=ba20d2fbb018b902&fccid=92f1ccd9154b0139&vjs=3,08-17-2022
399, Maharashtra,Cloud Solution Architect Data & AI,Microsoft,"Mumbai, Maharashtra","Understand customers’ overall data estate, IT and business priorities and success measures to design implementation architectures and solutions.",No Salary,/rc/clk?jk=6a3c174ff149bb86&fccid=734cb5a01ee60f80&vjs=3,08-17-2022
400, Karnataka,Senior Machine Learning Engineer I,Modus Closing,"Bengaluru, Karnataka",Using your machine learning skills to explore and deeply understand Compass’s data. Perform feature engineering and modelling tasks on top of this data to power…,No Salary,/rc/clk?jk=a2aafbd3023580db&fccid=4a4184a099015c45&vjs=3,08-17-2022
401, Karnataka,Senior Machine Learning Engineer I,Modus Closing,"Bengaluru, Karnataka",Using your machine learning skills to explore and deeply understand Compass’s data. Perform feature engineering and modelling tasks on top of this data to power…,No Salary,/rc/clk?jk=a2aafbd3023580db&fccid=4a4184a099015c45&vjs=3,08-17-2022
402, Karnataka,"Applied Scientist II, Alexa International",ADCI - Karnataka,"Bengaluru, Karnataka","Proven track in leading, mentoring and growing teams of scientists. The candidate will be expected to work on numerous aspects of Machine Learning involving…",No Salary,/rc/clk?jk=1a3bbf4c905ec801&fccid=fe2d21eef233e94a&vjs=3,08-19-2022
403, Tamil Nadu,Staff Engineer (Machine Learning Toolchain developer),Qcom,"Chennai, Tamil Nadu","Engineering Group, Engineering Group > Systems Engineering. Hands-on experience with Deep Learning frameworks like Keras, TensorFlow, ONNX, PyTorch, Caffe…",No Salary,/rc/clk?jk=7e72614ed59c8abc&fccid=d40ebe11fc879426&vjs=3,08-21-2022
404, Uttar Pradesh,Data Scientist - Associate Vice President,ZigUp,"Noida, Uttar Pradesh",Expectations/ Requirements -10 + years of experience into data science field1. Share reports and dashboards with business stakeholders to empower them to make…,No Salary,/rc/clk?jk=eaf81547c142143c&fccid=ce6cd235b9f7009e&vjs=3,08-18-2022
405, Karnataka,Consumer and Wealth Management - Data Science - Vice Preside...,Goldman Sachs,"Bengaluru, Karnataka",Lead a small team of data scientists (2-3) and peer review their technical work and provide guidance on overall direction of the project.,No Salary,/rc/clk?jk=f3bb855cb4d943c7&fccid=16a97ed26c75bf2d&vjs=3,08-18-2022
406, Delhi+1 location,Data scientist,Mount Talent Consulting,"New Delhi, Delhi+1 location","Experience in Hands-on data mining and predictive modelling experience (clustering / classification using decision trees, linear/logistic regression, etc.).",No Salary,/rc/clk?jk=856f483f0d2b2e16&fccid=0acd5d971e419820&vjs=3,08-18-2022
407, Delhi+1 location,Data scientist,Mount Talent Consulting,"New Delhi, Delhi+1 location","Experience in Hands-on data mining and predictive modelling experience (clustering / classification using decision trees, linear/logistic regression, etc.).",No Salary,/rc/clk?jk=856f483f0d2b2e16&fccid=0acd5d971e419820&vjs=3,08-18-2022
408,India,Amagi - Applied Data Scientist - Machine Learning (3-6 yrs),ZigUp,India,"Provide strong systems development skills, a creative analytical mindset, and expertise in data science, machine learning, and machine learning operations …",No Salary,/rc/clk?jk=4520141eb6b665c2&fccid=ce6cd235b9f7009e&vjs=3,08-18-2022
409, Karnataka,Senior Applications Engineer (AI/ML Analyst),Oracle,"Bengaluru, Karnataka",Robust data modelling and data architecture skills. Explore and visualize data for better understanding and identify differences in data distribution that could…,No Salary,/rc/clk?jk=739c39f76f3b5a15&fccid=cd22d01053af7669&vjs=3,08-19-2022
410, Maharashtra,Sr Staff Engineer - Big Data,Seagate Technology,"Pune, Maharashtra","Exposure to interact with end customers, understand requirement and help design data analytics platform and data engineering pipeline.",No Salary,/rc/clk?jk=79add5a7a0bc1f90&fccid=eb193642f8c64a12&vjs=3,08-16-2022
411,India,Data Scientist - KPO (4-10 yrs),ZigUp,India,"Description : Data scientist will work closely with partners, principals, consultants and data engineers to build different scales of analytical solutions…",No Salary,/rc/clk?jk=c01a05070e9484c1&fccid=ce6cd235b9f7009e&vjs=3,08-17-2022
412, Karnataka,Sr Staff Analytics Engineer,GE Digital,"Bengaluru, Karnataka","Find and interpret data sources, manages large amounts of data, merges data sources together, ensures consistency of data-sets, creates visualizations to aid in…",No Salary,/rc/clk?jk=e373eba8a20f5e19&fccid=643a553ccd7fba02&vjs=3,08-17-2022
413, Karnataka,Sr Staff Analytics Engineer,GE Digital,"Bengaluru, Karnataka","Find and interpret data sources, manages large amounts of data, merges data sources together, ensures consistency of data-sets, creates visualizations to aid in…",No Salary,/rc/clk?jk=e373eba8a20f5e19&fccid=643a553ccd7fba02&vjs=3,08-17-2022
414, Karnataka,Senior Solutions Architect - Deep Learning,NVIDIA,"Bengaluru, Karnataka","We are looking for a Deep Learning Solutions Architect, a best-in-class data scientists and engineers able to engage with developers, researchers, and start-ups…",No Salary,/rc/clk?jk=be2cb5b049756b2f&fccid=c267f29f0f85e8b8&vjs=3,08-17-2022
415,India,Audify - Data Scientist - IIT/NIT/IIIT/BITS (2-5 yrs),ZigUp,India,2-5 years in the analytics or data science function. Develop a deep understanding of available data to drive ad-hoc analysis and answer questions.,No Salary,/rc/clk?jk=7b3112c3d86da732&fccid=ce6cd235b9f7009e&vjs=3,08-18-2022
416, Uttar Pradesh,Data Scientist Job stage 9,ZigUp,"Noida, Uttar Pradesh",Acuity for business flow understanding and expertise in data preparation-data mining and pre-processing and documentation skills. What happens once you apply?,No Salary,/rc/clk?jk=e2bd05d09380369e&fccid=ce6cd235b9f7009e&vjs=3,08-18-2022
417, Karnataka,Internal Audit - Technology Audit - Embedded Data Analytics...,Goldman Sachs,"Bengaluru, Karnataka","We are looking for a strong data scientist, passionate about using data to challenge the norm, to join our Embed Data Analytics team.",No Salary,/rc/clk?jk=ed4c50e5b09161a5&fccid=16a97ed26c75bf2d&vjs=3,08-18-2022
418, Karnataka,Lead Data Scientist,CIEL HR,"Bengaluru, Karnataka","Support, review and conduct complex analytics processes and data integration on clients’ internal and external data. Expedience CRM analytics would be a plus.",No Salary,/rc/clk?jk=f8be64da75b9b74a&fccid=97c7ac19bcd5f536&vjs=3,08-18-2022
419, Karnataka,Lead Data Scientist,CIEL HR,"Bengaluru, Karnataka","Support, review and conduct complex analytics processes and data integration on clients’ internal and external data. Expedience CRM analytics would be a plus.",No Salary,/rc/clk?jk=f8be64da75b9b74a&fccid=97c7ac19bcd5f536&vjs=3,08-18-2022
420, Maharashtra,Sr Demand Data Scientist,AkzoNobel,"Pune, Maharashtra",Signal data anomalies and take corrective actions. Drive disciplined execution (“Be Disciplined In Execution”) of all data-related activities to promote and…,No Salary,/rc/clk?jk=21691b60b50a21d4&fccid=5081809cb71a558d&vjs=3,08-18-2022
421, Karnataka,DG-Manager-Data Scientist,Genpact,"Bengaluru, Karnataka","Conduct explanatory data analysis and prepare data sources to be analyzed. Experience with contemporary big data technologies (Hadoop, HIVE, PIG, MapReduce).",No Salary,/rc/clk?jk=e3cf93e248537882&fccid=afe30394bfba1470&vjs=3,08-19-2022
422, Haryana,Data Strategic Pricing Scientist,Cargill,"Gurgaon, Haryana","To accomplish this, we are looking to build a team of data scientists who will drive this exciting journey. Bachelor’s degree in data science/math/econometrics…",No Salary,/rc/clk?jk=4dbb76091a844775&fccid=d7d9a8241ba2f3ec&vjs=3,08-21-2022
423, Karnataka+1 location,"Data Science Associate Consultant (Bengaluru, India)",ZS,"Bengaluru, Karnataka+1 location","Execute statistical and data mining techniques (e.g. hypothesis testing, machine learning and retrieval processes) on large data sets to identify trends,…",No Salary,/rc/clk?jk=184ba1ef740d9871&fccid=f349f6e84d53b739&vjs=3,08-20-2022
424, Karnataka,Network Intelligence and Analytics,NOKIA,"Bengaluru, Karnataka","Strong skills in mathematical analysis, collecting and analyzing data, and spreadsheet model-building. You will also have deep expertise in data mining and…",No Salary,/rc/clk?jk=b7bd2bced10d0e34&fccid=3444e7c94299ba32&vjs=3,08-18-2022
425, Karnataka,Network Intelligence and Analytics,NOKIA,"Bengaluru, Karnataka","Strong skills in mathematical analysis, collecting and analyzing data, and spreadsheet model-building. You will also have deep expertise in data mining and…",No Salary,/rc/clk?jk=b7bd2bced10d0e34&fccid=3444e7c94299ba32&vjs=3,08-18-2022
426, Karnataka,Product Management Sr. Manager- AI/ML & Bigdata,Salesforce,"Bengaluru, Karnataka"," Defining the product capabilities for data governance, data modeling & data analytics with UI, metadata and API based extensibility for the Customer Data…",No Salary,/rc/clk?jk=c15d24443c77e64c&fccid=4027cfd917e1ee29&vjs=3,08-18-2022
427, Telangana,HDL Engineer for Vision and Deep Learning,ZigUp,"Hybrid remote in Hyderabad, Telangana","Engineers and scientists worldwide rely on its products to accelerate the pace of discovery, innovation, and development of advanced products in automotive…",No Salary,/rc/clk?jk=ad3cb7e10763e752&fccid=ce6cd235b9f7009e&vjs=3,08-17-2022
428, Karnataka,"Applied Scientist II, Alexa Artificial Intelligence",ADCI - Karnataka,"Bengaluru, Karnataka",2+ years of experience in machine learning and data science. Track record of diving into data to discover hidden patterns and conducting error/ deviation…,No Salary,/rc/clk?jk=20fbcb9871191f5d&fccid=fe2d21eef233e94a&vjs=3,08-19-2022
429, Karnataka,Python ML Engineer,ZigUp,"Bengaluru, Karnataka","Ability to be a self starter and work closely with other data scientists and software engineers to design, test and build production ready ML and optimization…",No Salary,/rc/clk?jk=0f33b86d93f0a4bc&fccid=ce6cd235b9f7009e&vjs=3,08-15-2022
430, Karnataka,Principal AI/ML Engineer With ML Ops (India),Boomi,"Bengaluru, Karnataka","Collaborate closely with data scientists, data engineers, and software engineers in a multidisciplinary work environment. About Boomi and What Makes Us Special.",No Salary,/rc/clk?jk=d8a818adb3922ca0&fccid=dd09fe3b43125016&vjs=3,08-17-2022
431, Karnataka,Principal AI/ML Engineer With ML Ops (India),Boomi,"Bengaluru, Karnataka","Collaborate closely with data scientists, data engineers, and software engineers in a multidisciplinary work environment. About Boomi and What Makes Us Special.",No Salary,/rc/clk?jk=d8a818adb3922ca0&fccid=dd09fe3b43125016&vjs=3,08-17-2022
432, Tamil Nadu,Data Science Consultant,InTechHub Solutions,"Remote in Salem, Tamil Nadu","Experience working with complex data architectures. Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights…","₹5,00,000 - ₹15,00,000 a year",/company/InTechHub-Solutions/jobs/Data-Science-Consultant-b951db7f1f1a0090?fccid=192d53fc7b304787&vjs=3,08-19-2022
433, Karnataka,Data Scientist,Electro Scientific Concern,"Remote in Bengaluru, Karnataka","Able to understand various data structures and common methods in data transformation. 7+ years’ practical experience with SAS, ETL, data processing, database…","₹70,000 - ₹90,000 a month",/company/Electro-Scientific-Concern/jobs/Data-Scientist-ebe26ebbefe33c70?fccid=e63c794a13d2cbd3&vjs=3,08-24-2022
434,Remote,Data Scientist,Climate Change Response Pty Ltd,Remote,A good data scientist bridges the gap between data and a company. Understanding of communicating complex data in an accessible way.,"₹20,000 a month",/company/Climate-Change-Response-Pty-Ltd/jobs/Data-Scientist-33f0a4ee4572e1b7?fccid=e77639e1ce76ebb1&vjs=3,08-28-2022
435, Karnataka,Data Scientist,Movius Interactive,"Bengaluru, Karnataka",Collating and cleaning data from various entities for later use by junior data scientists. Experience analyzing and modeling time-series data.,No Salary,/company/Movius-Interactive/jobs/Data-Scientist-112577ea10ee626e?fccid=5f6ab2fa4ff89189&vjs=3,08-20-2022
436, Telangana,Data Scientist consultant,serendipity corporate services,"Hyderabad, Telangana","Understanding of data structures, data modelling and software architecture. Transforming data science prototypes and applying appropriate ML algorithms and…","₹20,00,000 - ₹25,00,000 a year",/company/serendipity-corporate-services/jobs/Data-Scientist-Consultant-172ec5242c69ef56?fccid=a2ddb081299566b5&vjs=3,08-20-2022
437, Telangana,Data Scientist consultant,serendipity corporate services,"Hyderabad, Telangana","Understanding of data structures, data modelling and software architecture. Transforming data science prototypes and applying appropriate ML algorithms and…",No Salary,/company/serendipity-corporate-services/jobs/Data-Scientist-Consultant-172ec5242c69ef56?fccid=a2ddb081299566b5&vjs=3,08-20-2022
438, Maharashtra,Data Scientist,T Concepts Resources Pvt Ltd,"Pune, Maharashtra",You are experienced in solving real-world problems with data science techniques and have successfully put data science models into production with proven value.,"₹20,00,000 - ₹25,00,000 a year",/company/T-Concepts-Resources-Pvt-Ltd/jobs/Data-Scientist-5fa37f90976e9918?fccid=de67655f8c35501c&vjs=3,08-24-2022
439, Karnataka+1 location,Data Scientist,serendipity corporate services,"Bengaluru, Karnataka+1 location","Primary skills : - Data science ( ML ), NLP ,computer vision and SQL. Ability to read and implement research papers and propose solutions and strategies to…","₹10,00,000 - ₹25,00,000 a year",/company/serendipity-corporate-services/jobs/Data-Scientist-d8c540f702cd5b09?fccid=a2ddb081299566b5&vjs=3,08-26-2022
440, Maharashtra,Media Analytics Consultant- (Data Scientist)- Mumbai,Nielsen,"Mumbai, Maharashtra","Coordinate internal training sessions to keep stakeholders informed of new or amended statistical methodologies, such as data fusion, data imputation, and…",No Salary,/rc/clk?jk=8402b157a1de856d&fccid=683f563b5cc25b70&vjs=3,08-19-2022
441, Madhya Pradesh,Looking for training in Machine Learning and Data Science,SMT Group,"Indore, Madhya Pradesh","Looking for students or freshers who want to do training in Machine Learning, Data Science, Dot Net, and MVC in order to get a good placement and jobs after the…","₹5,000 - ₹10,000 a month",/company/SMT-Group/jobs/Training-Machine-Learning-Data-Science-ff273cf3e955a24e?fccid=1ee95d4566fac24a&vjs=3,08-26-2022
442, Gujarat+1 location,Manager - MMM/Modeling/Analytics - Baroda/Bangalore,Nielsen,"Vadodara, Gujarat+1 location","Our team of researchers come from diverse disciplines and they drive innovation, new product ideation, experimental design and testing, complex analysis and…",No Salary,/rc/clk?jk=ccc63b47346d7654&fccid=683f563b5cc25b70&vjs=3,08-19-2022
443, Gujarat+1 location,Manager - MMM/Modeling/Analytics - Baroda/Bangalore,Nielsen,"Vadodara, Gujarat+1 location","Our team of researchers come from diverse disciplines and they drive innovation, new product ideation, experimental design and testing, complex analysis and…",No Salary,/rc/clk?jk=ccc63b47346d7654&fccid=683f563b5cc25b70&vjs=3,08-19-2022
444, Tamil Nadu,Machine Learning Intern,Santa Fe Research Pvt Ltd,"Remote in Chennai, Tamil Nadu","Strong mathematical background in machine learning. Knowledge of python, pandas, opencv, spacy. Build and train neural networks.","₹20,000 - ₹25,000 a month",/company/Santa-Fe-Research-Pvt-Ltd/jobs/Machine-Learning-Intern-ce4a7f7304055e05?fccid=8c15dd494e79d67b&vjs=3,08-19-2022
445, Karnataka,Data Scientist (2-4 yrs) – Bengaluru,Add On IT Systems,"Bengaluru, Karnataka",Present information using data visualization techniques. Undertake preprocessing of structured and unstructured data. Experience with Statistical Analysis.,"₹5,00,000 - ₹10,71,573 a year",/company/Add-On-IT-Systems/jobs/Data-Scientist-a242b5f6826282ff?fccid=d5fb75f3e7e3df01&vjs=3,08-20-2022
446, Karnataka,Junior Data Scientist,Conxai Technologies GmbH,"Bengaluru, Karnataka",BCA / BSc. / BTech or higher with experience in data annotation and data science. A substantial part of your work will involve annotating data.,No Salary,/rc/clk?jk=09ab15e219b06d8d&fccid=3223629b914c825f&vjs=3,08-20-2022
447,Remote,Lead Data Scientist,inFeedo,Remote,Experience with data modeling and ETL pipelines. Demonstrated ability to influence and guide product strategy with data.,No Salary,/rc/clk?jk=720ebe68599800a2&fccid=469dadb3686054d3&vjs=3,08-27-2022
448,Remote,Remote Data Scientist (Open to LATAM),Turing,Remote,Run statistical analysis of structured and unstructured data sets. Integrate data-driven mathematical models focusing on long-term decision-making processes.,No Salary,/company/Turing/jobs/Data-Scientist-a3affbbda2977dd0?fccid=9e91ba2e9cfc16b4&vjs=3,08-25-2022
449,Remote,Remote Data Scientist (Open to LATAM),Turing,Remote,Run statistical analysis of structured and unstructured data sets. Integrate data-driven mathematical models focusing on long-term decision-making processes.,No Salary,/company/Turing/jobs/Data-Scientist-a3affbbda2977dd0?fccid=9e91ba2e9cfc16b4&vjs=3,08-25-2022
450, Kerala,Urgent requirement for AI Engineer,Pinnacle Software and Services Pvt Ltd,"Thiruvananthapuram, Kerala",The internship involves developing various solutions related to NLP and data science. We aim to provide products for building better accounting and various…,"₹2,00,000 - ₹3,50,000 a year",/company/Pinnacle-Software-and-Services-Pvt-Ltd/jobs/Requirement-Ai-Engineer-c8d06a0e53cb637d?fccid=a3b776ec3d9d85cc&vjs=3,08-19-2022
451, Karnataka,Sr. NLP Engineer (Conversational AI),voiceplug,"Bengaluru, Karnataka","Designing, developing, and managing data structures and database management systems. Good with designing, coding, and debugging various NLP and Conversational…",No Salary,/rc/clk?jk=6ae00ed66b7d6573&fccid=ea0ebf27ed4651eb&vjs=3,08-21-2022
452, Maharashtra,Head of Academics - Data Science,Boston Institute of Analytics,"Andheri, Mumbai, Maharashtra",Minimum 1 year experience as data analyst or as academic coordinator. Develop educational process and policies to meet curriculum goals.,"₹6,00,000 - ₹8,00,000 a year",/company/Spinnaker-Corporate-Advisors/jobs/Head-Academic-6b695091cc6b4362?fccid=9479f314b75ab640&vjs=3,08-24-2022
453, Haryana,Data Scientist(NLP),Builder.ai - What would you Build?,"Gurgaon, Haryana","Real world data querying (SQL), data manipulation and feature engineering experience. Contribute to the development and the enhancement of the data science…",No Salary,/rc/clk?jk=3e1d0a731c8432a4&fccid=f2413f058064dc95&vjs=3,08-17-2022
454, Uttar Pradesh,Machine Learning Engineer,JMBDD PRIVATE LIMITED,"Noida, Uttar Pradesh","Conducting regular data investigation and exploratory data analysis. Developing data solutions for described use cases, revolving around image processing,…","₹9,000 - ₹11,000 a month",/company/JMBDD-PRIVATE-LIMITED/jobs/Machine-Learning-Engineer-1dd2561f9d48c759?fccid=ea3016c55027e4e6&vjs=3,08-25-2022
455, Uttar Pradesh,Machine Learning Engineer,JMBDD PRIVATE LIMITED,"Noida, Uttar Pradesh","Conducting regular data investigation and exploratory data analysis. Developing data solutions for described use cases, revolving around image processing,…",No Salary,/company/JMBDD-PRIVATE-LIMITED/jobs/Machine-Learning-Engineer-1dd2561f9d48c759?fccid=ea3016c55027e4e6&vjs=3,08-25-2022
456, Maharashtra,Data Science Manager- AI Product,Spectral Consultants,"Pune, Maharashtra",Owning the development of AI component within product for accuracy & efficiency. Involve in research & conceptualization & product design for new product line.,No Salary,/rc/clk?jk=f611072939ea2d4f&fccid=ff049ff6ffe45b13&vjs=3,08-18-2022
457, Kerala,Data Science Engineer,Sinergia Media Labs Pvt Ltd,"Kochi, Kerala",Proficient in Python/R and have used it for data science tasks. Should be able to device an approach for solving business problems using data science/AI/ML.,"₹50,000 - ₹60,000 a month",/company/sinergia-media-labs/jobs/Data-Science-Engineer-39340384fbbe4eec?fccid=690ccdfb73d907a5&vjs=3,08-22-2022
458, Delhi,Senior Analytics Engineer,Hakuva Technologies,"Remote in Delhi, Delhi","Upskill business stakeholders in data analytics best practices to create a self-service data culture. Experience with a data visualization tool (ie. Looker,…","₹1,50,000 - ₹3,50,000 a month",/company/Hakuva-Technologies/jobs/Senior-Analytic-Engineer-2ce4f7b2e8965f81?fccid=4802617e34323fc9&vjs=3,08-18-2022
459, Delhi,Data Analyst,Growth Hub Consultants,"New Delhi, Delhi",Interpret data using various data analysis tools. You will have to analyze data from various data sources and compile the findings in comprehensive reports.,No Salary,/rc/clk?jk=df576ab4be4f8aa2&fccid=49b7b2ce845ef5d7&vjs=3,08-17-2022
460, Karnataka,Senior Data Engineer,Index Exchange,"Bengaluru, Karnataka","Experience with integration of data from multiple data sources. Design, implement, and maintain data pipelines for extraction, transformation, and loading of…",No Salary,/rc/clk?jk=c9af0c4a816a9ecc&fccid=82179ab8760b598c&vjs=3,08-18-2022
461, Karnataka,Senior Data Engineer,Index Exchange,"Bengaluru, Karnataka","Experience with integration of data from multiple data sources. Design, implement, and maintain data pipelines for extraction, transformation, and loading of…",No Salary,/rc/clk?jk=c9af0c4a816a9ecc&fccid=82179ab8760b598c&vjs=3,08-18-2022
462, Maharashtra,Data Science Academic Head,Client of Dreamrose Consultants,"Mumbai, Maharashtra",Minimum 1 year experience as data analyst or as academic coordinator. Develop educational process and policies to meet curriculum goals.,"₹8,00,000 a year",/company/dream-rose-consultancy/jobs/Data-Science-Academic-Head-c6993bffcafed883?fccid=7deecbba1a829800&vjs=3,08-20-2022
463, Haryana,AI / ML Engineer,KlearNow,"Gurgaon, Haryana",Explore data features and manipulate data with SQL and scripts. KlearNow is transforming B2B supply chains with its smart Logistics as a Service (LaaS) platform…,No Salary,/rc/clk?jk=e57ec07644b28639&fccid=ccdb80a8fb2b867e&vjs=3,08-19-2022
